id,text,category,source,date
8215,"«Наконец это случилось. Эндрю Фэрбенкс всегда знал, что однажды прославится. И вот этот день настал. Тихий солнечный вторник в начале августа. За годы благодаря фитнес-рилсам у него накопилось немало подписчиков, но о такой славе он и не мечтал. Сумасшедшая известность».  Но не такая, которой Эндрю хотелось бы на самом деле... Приехала из типографии первая книга новой серии детективов Ричарда Османа, автора «Клуба убийств по четвергам». Узнаем, что случилось с известным фитнес-блогером и какие события последовали дальше — будет очень увлекательно!  Под обложкой вы найдете полюбившийся фирменный стиль писателя: остроумный юмор, живые диалоги и теплое отношение к персонажам. Сюжет новинки более динамичный по сравнению с серией «Клуб убийств по четвергам», но атмосфера остается уютной и захватывающей.   За новинкой: МИФ / Ozon / WB / Читай-город",книги,mifbooks,2025-05-21 09:55:31
8214,"В 2020 году в нашем традиционном первоапрельском «Книжном издевательстве» появилась книга «Искусство материть». Читателям так понравилась эта шутка, что мы стали получать письма с вопросами, когда же новинка выйдет. За прошедшие пять лет книгой так часто интересовались и просили выпустить, что мы решили ее издать!  Открыли по-настоящему долгожданный предзаказ на книгу «Запретные слова» ⚡️  Как русский мат проникал в литературу — от классической до современной? Почему одни ругательства табуированы, а другие превращаются в эвфемизмы? Как меняется обсценная лексика под влиянием законов и Интернета? И почему, несмотря на все запреты, русский язык без мата — уже не совсем русский? Как устроен этот пласт языка и почему он так прочно вплетен в нашу речь, рассказали доктора филологических наук Анатолий Баранов и Дмитрий Добровольский.  📕 Предзаказ: МИФ / Читай-город",книги,mifbooks,2025-05-20 13:16:18
8213,"«А правда, что он дев ворует?»  Кощей и Василиса женаты уже много лет. Дома их ждут доберманы Хугин и Мунин, а в Западно-Сибирском отделении по надзору за магией и магической миграцией — новые задачи и проблемы: то брат с сестрой, потерявшие ведьму-наставницу, на голову свалятся, то европейские коллеги для обмена опытом нагрянут… Кощей и Василиса счастливы в браке. Но за спиной у каждого — свои тайны и ошибки. И когда прошлое незваным гостем явится на порог, смогут ли они довериться друг другу?..  Давайте почитаем отрывок из фэнтези Алены Селютиной «И жили они долго и счастливо», в основе которого — русские народные сказки.",книги,mifbooks,2025-05-19 18:23:40
8212,"МИФ на Книжном салоне 2025  В четверг в Санкт-Петербурге начинается большой книжный праздник — приходите пополнить свои библиотеки. Ждем в гости за книгами в павильоне А, стенд 39, а еще на мероприятиях с нашими авторами:  23 мая в 19:00, шатер F — «Презентация фантастической антиутопии “Луна 84”». Ислам Ханипаев, модератор — Денис Лукьянов  24 мая в 14:00, Лаборатория ИИ — «Социальная природа чтения 2.0: как ИИ расширяет возможности совместного творчества», Рустам Агамалиев  25 мая в 14:00, Лаборатория ИИ — «ИИ для детей и кибербезопасность», Катерина Дронова  25 мая в 17:00, шатер G — «Мифы окаменелостей. От костей великанов и пальцев водяных до зубов дракона и стрел с неба», Антон Нелихов  А еще на этой неделе у нас две Гаражки: в Оренбурге и Балашихе, все подробности и программу вы найдете здесь. До встречи!",книги,mifbooks,2025-05-19 15:43:47
8210,"Вербальная магия: лекторий о тайном могуществе слова, знака и звука  Слова сотворяют миры — и меняют их. Слова могут ранить, а могут — исцелять и пробуждать любовь. И речь не о «любых словах», а о волшебных. Ведь с древнейших времен люди приписывали им особую силу.  29 мая начинается наш новый лекторий — заглянем в «Книгу мертвых», узнаем о шаманских камланиях и гипнозе, услышим скандинавские «песни силы», взглянем на таинственные сигилы из гримуаров Средневековья. В программе информация не только о древних суевериях, но и о современных, вполне научных понятиях — например, суггестии и НЛП.  Наш проводник в мир вербальной магии —  историк, кандидат философских наук и автор бестселлеров МИФа Марина Голубева. Записаться (используйте промокод MAGICWORD для скидки 40% до 21 мая) 🌟",книги,mifbooks,2025-05-18 11:24:07
8205,"Серия NEON Pocketbooks: любимые бестселлеры в формате покетов  «Обними меня крепче» и «45 татуировок менеджера», «Магия утра» и «Эмоциональный интеллект», «Гении и аутсайдеры» и «Не мешай себе жить» — мы выбрали самые популярные книги по саморазвитию, психологии и бизнесу, проданные тиражом 1,5+ миллиона экземпляров, и выпустили их в формате покетбуков с ярким минималистичным дизайном. Удобно носить с собой и читать, когда появляется время, а еще их стоимость доступнее.  К 20-летию МИФа на Ozon с промокодом PREPARTY10 на все покетбуки действует допскидка 10% — подробности здесь 📕",книги,mifbooks,2025-05-18 08:53:22
8198,"«Как жили на Руси»: путеводитель по миру прошлого в красочных иллюстрациях от МИФ.Детство  Давным-давно в тридевятом царстве, тридесятом государстве жили-были дед с бабой, и было у них семеро детей... Но как именно они жили? Где спали? Как одевались? Что ели на праздник, а что по будням? Чем занимались их дети? Ходили ли они в школу или целыми днями играли и водили хороводы?  Все эти бытовые вопросы обходят стороной и сказки, и книги по истории, однако в них заключено самое интересное и важное. Если бы вы вдруг очутились в Древней Руси, вам бы пригодились как раз такие знания: в каких домах тут живут, где работают, чем расплачиваются за покупки, на чем ездят по дорогам, чем различается одежда детей и взрослых.  Наполненная интересными фактами и яркими иллюстрациями книга позволяет глубже понять дух и быт наших предков. Авторы Наталья Серегина и Надежда Адамович — историки, этнографы, создатели блога «История. Интересно!» и авторы бестселлеров «Средневековье на Руси» и «Интимная Русь».  За книгой: МИФ / WB / Ozon / Читай-город",книги,mifbooks,2025-05-17 14:02:47
8196,Идеальная суббота с классикой — на видео прекрасной Сан. А что сейчас читаете вы?,книги,mifbooks,2025-05-17 12:05:34
8195,"Уютное, темное, городское: путеводитель по миру фэнтези  Фэнтези — это не только истории про хоббитов и мальчика, который выжил. Этот мир гораздо разнообразнее. Азиатское и этническое, городское, темное и уютное. Сделали большую подборку книг — выбирайте то, что ближе, и отправляйтесь в увлекательное путешествие.  А вы любите фэнтези? ❤️ — очень 🤔 — не мой жанр",книги,mifbooks,2025-05-16 17:34:00
8194,"Что посмотреть перед походом в музей 🐚  В это воскресенье отмечается Международный день музеев — повод выбраться в любимую галерею или посетить новую выставку. А чтобы поход в музей был по-настоящему интересным и осмысленным, стоит подготовиться, например, посмотрев наши лектории. Сделали для вас подборку, чтобы погрузиться в культуру разных стран, узнать новое о жизни исторических личностей и изучить быт предков. Все это поможет лучше ориентироваться в разных музеях и произвести впечатление на экскурсовода 🫰  На все лектории подборки до 18 мая включительно действует скидка 40% по промокоду МУЗЕЙ. Берите сразу несколько ✨  Палеонтология 🤎 Мифы юрского периода Лекторий о мифах, которые появились буквально из-под земли. Узнаем, каких чудовищ выдумывали наши предки на основании найденных костей вымерших животных и как использовали находки в древней магии и медицине.   Античность 💙 Укрощение строптивых гречанок Познакомимся с разными версиями мифов об амазонках, Пандоре, Персефоне, Елене Троянской и Медузе Горгоне. 🤎 Интимный Рим Узнаем, какими «неприличными» фигурками и для чего римляне украшали сады. Как в Риме относились к женщинам и в кого были влюблены боги.   Египет 💛 Загадки Древнего Египта Исследуем жизнь фараонов и простых египтян. И узнаем, какие опасности подстерегают внутри пирамид.  Средние века 🖤 Средневековая инквизиция Тамплиеры, Жанна Д'Арк, борьба с ересью. Откроем новое в известных событиях и ближе познакомимся с судьбами тех, чьи жизни унесла инквизиция. 💜 Как выжить женщине в Средневековье Жизнь средневековых женщин окружена мифами. Так ли зависимы они были от мужчин? Могли ли вступать в интимную связь до брака? Выясним на этом лектории.   Изобразительное искусство 🖤 Мистическое искусство Будем разбираться, как вера в сверхъестественное повлияла на искусство Василия Кандинского, Казимира Малевича, Сальвадора Дали, Джексона Поллока и других художников. ❤️ Загадки русского искусства Научимся читать работы русских художников. Распутаем следы исторических событий, разгадаем намеки на конкретных лиц и услышим философские споры минувших столетий.  Китай 🤎Китайские мифы Научимся замечать китайские мотивы и древние мифологические образы в современной культуре, понимать их смысл и значение. Узнаем о даосизме, конфуцианстве, буддизме и познакомимся с легендами Древнего Китая.  Космос 💙 Мы во Вселенной Избавимся от стереотипов о космосе. Узнаем, что Земля не плоская. Шутка, это мы и так знаем. А вот Вселенная — плоская. И это не шутка. Изучим современную астрономию и узнаем о самых крутых открытиях.  Краеведение 💚 Обряды предков: сила сквозь время Обычаи и ритуалы из разных уголков России. Свадебные и поминальные. Новогодние и пасхальные. Давно ушедшие и те, что сохранились до наших дней.  💛 Сибирские шаманы Почему даже в XXI веке шаманизм не теряет своей силы? Разберемся вместе с экспертом, которая провела десятки экспедиций в самое сердце Сибири — и узнала о духовной практике шаманов от них самих.",книги,mifbooks,2025-05-16 15:10:56
8193,"Друзья, в этом году наша премия «Книжный Оскар Уайльд» пройдет уже в шестой раз — и будет для нас особенной, ведь МИФ отмечает 20-летие.  Сейчас мы формируем шорты-листы и приглашаем вас поддержать любимые книги, изданные в 2024-м году, — на этой странице вы найдете формы для голосования. Пожалуйста, выбирайте не больше трех книг в каждой номинации.  Благодарим за каждый отданный голос. Ваш МИФ ❤",книги,mifbooks,2025-05-16 11:01:40
8191,"«Накормите голодающих писателей»: история знаменитого книжного магазина «Шекспир и компания»  «Я могу назвать Париж Парижем только потому, что там на набережной Сены есть букинистические лавки и ""Шекспир и компания""», — пишет Ким Онхо, книжный энтузиаст и издатель в новинке «Книжные магазины: большое путешествие от Сеула до Санкт-Петербурга».  Публикуем отрывок из книги — об одном из самых знаменитых книжных мира, непростой истории его основательницы Сильвии Бич, «Улиссе» Джеймса Джойса и Джордже Уитмене, вернувшем магазин к жизни.",книги,mifbooks,2025-05-15 18:45:18
8189,"Какой курс МИФа вам подходит?  Бывает, хочется всего и сразу: написать бестселлер, нарисовать шедевр, организовать экспедицию на Марс, а заодно разобраться, почему все бесят. Чтобы не метаться между гениальными планами, мы придумали тест — он подскажет, какой курс МИФа лучше всего совпадает с вашим внутренним запросом прямо сейчас.   Пройти тест ✅",книги,mifbooks,2025-05-15 11:44:16
8188,"Друзья, у нас две замечательные новости:  1️⃣ Из типографии приехал заключительный том фантастической трилогии Ислама Ханипаева — «Луна 84. Цена свободы» — и вот-вот везде появится! 🔥  2️⃣ Готовим для вас шикарный эфир с Исламом Ханипаевым, а модератором пригласили прекрасную Екатерину Звонцову!  Поговорим о цикле «Луна 84», о том, как создавалась эта история и о том, какой путь проходит главный герой, об источниках вдохновения и о многом другом — ждем вас в среду вечером на нашем канале 💜  #мифпроза_встречи",книги,mifbooks,2025-05-14 15:15:21
8187,Сегодня вечером заглядывайте к нам на эфир,книги,mifbooks,2025-05-14 15:15:21
8186,"6 дней осталось до начала учебы в рамках нашего флагманского курса «Книжный иллюстратор» — мы на низком старте.  Вот что ждет участников: – мастер-классы от топовых иллюстраторов; – разборы работ от профессионалов книжной индустрии: арт-директоров и иллюстраторов; – понимание, как сделать качественную иллюстрацию; – взгляд за кулисы издательского мира; – профессиональное сообщество и поддержка от МИФа; – возможность принять участие в конкурсе иллюстраторов.  За 18 недель разберем широкий пул тем — от эстетики как кода бренда (вебинар проведет генеральный директор МИФа Дмитрий Утробин) до авторского права, поиска заказчиков и работы с типографиями. Посмотреть подробную программу и список экспертов можно здесь ✏  А завтра в 19:00 встретимся на бесплатном вебинаре с экспертом курса, иллюстратором, преподавателем Британской школы дизайна Анной Журко. Будет розыгрыш места на курсе — приходите, вдруг повезет именно вам? Записаться   P. S. Используйте промокод BOOKIL30 для скидки 30% на все тарифы (работает до 18 мая).",книги,mifbooks,2025-05-14 13:36:57
8185,"«Далекий от чтения коллега поделился со мной историей, что листал предложку Озона и увидел скрытый товар 18+. Его это заинтересовало, и он, гадая, резиновая женщина там или что-то ещё эдакое, поспешил кликнуть по иконке. А там оказалась всего лишь какая-то книга. Пока прочитал только 40 страниц, но уже очень рад покупке». Отзыв читателя  Ответ, что за книга (18+) — на фотографии. Один из бестселлеров МИФа в удобном формате серии NEON Pocketbooks.   Босс, требующий невыполнимого, придирчивый родитель, агрессивный подросток, коллега-манипулятор, кричащий на вас сосед, рыдающий влюбленный или вздорный клиент с необоснованными претензиями. Как с ними быть? Как разговаривать с теми, кто не слышит доводов разума? Создатель курса переговорщиков для ФБР, известный психиатр Марк Гоулстон рассказывает, как выйти из деструктивного общения победителем.  P. S. В этой же серии вы найдете и другие бестселлеры МИФа, проверенные временем — и не забудьте промокод PREPARTY10 для дополнительной скидки 10% на Ozon.",книги,mifbooks,2025-05-14 11:19:03
8182,"Миф о любви или любовь как миф? Как романтические истории помогают нам понять себя  Почему ни один (ну, почти) роман, фильм или сериал не обходятся без любовной линии? Потому что любая любовная история воспринимается нашей психикой как проявление мощнейшей жизненной энергии — и заставляет верить и сопереживать.  Для разрешения внутренних конфликтов, здоровых изменений и трансформации нам тоже необходимо найти ту самую «любовную линию» своей души.  Книга юнгианского аналитика Наталии Павловской «Любовь как архетип» — одновременно и попытка переосмыслить природу любви через образы из классической литературы и мифологии, и история пары, за которой мы следим от главы к главе, и уникальная возможность заглянуть внутрь самого себя.  Вы прочитаете: – Как отличить любовь от ее масок — зависимости, фантазии, потребности быть нужным – Почему зависть, страх и злость — не враги любви, а ее составляющие – Как архетип любви проявляется в мифах, снах и сюжетах, которые мы проживаем снова и снова – Как детские травмы мешают открыться чувствам – Как проживать и исцелять свой личный любовный миф – Как отличить настоящую любовь от романтического увлечения и сексуального напряжения  Это книга о том, как любовь формирует личность. О том, как через чувства — даже трудные — человек узнаёт себя. Здесь нет советов, как «найти» любовь, — но есть возможность распознать, что из переживаемого на самом деле ею не является, а что и есть самое настоящее подлинное чувство.  За книгой: МИФ / Ozon / WB / Читай-город",книги,mifbooks,2025-05-13 14:26:26
8181,"Как применять проектный подход на работе и в повседневной жизни?  Ответы — на нашем курсе «Управляю проектами». В рамках обучения вас будут ждать вебинары и целый набор полезных инструментов: чек-листы, лонгриды и памятки, шаблоны документов. Все это останется вашим после обучения — вы сможете использовать их в своей работе.  Чек-листы — Опрос заказчика (сбор данных об идее проекта) — Типовые риски проекта — Процедуры и документация по закрытию проекта — Лучшие практики передачи результатов проекта заказчику — Чек-лист по передаче проекта  Лонгриды — Обзор фреймворков проектного управления (PMBOK, Agile, Scrum, Lean) с анализом их преимуществ и областей применения — Список типичных ошибок начинающих руководителей проектов и способы их избежания — Качество на проектах — Презентация проекта — Коммуникация на проекте — стратегии и инструменты эффективной коммуникации с заинтересованными сторонами — Обзор программ и инструментов для управления проектами — с разбивкой по категориям и видам задач, в которых эти инструменты помогут — Анализ уроков проекта и обратной связи, методы оценки эффективности проекта  Памятки — Основные компоненты бизнес-кейса и жизненного цикла проекта — Идентификация стейкхолдеров и формирование команды проекта — Шаги формулирования целей и задач проекта  А еще вас ждут 4 практических занятия по каждому модулю курса и итоговое занятие по всем темам. Курс начался вчера (12 мая), вы еще успеете присоединиться — с промокодом ПРОЕКТ30 будет скидка 30% (до 18 мая включительно).",книги,mifbooks,2025-05-13 09:25:36
8176,"Для одних он — чудовище, для других — герой. В Западной Европе его считали садистом, в Румынии — защитником нации.  Если бы не вампирская маска, имя Влада Цепеша давно бы забыли. Но благодаря Стокеру и фольклору о нем знают по сей день. И каждый раз, когда говорят «Дракула», вспоминают не только монстра, но и князя. Принесли несколько интересных фактов из новинки «Настоящий Дракула» 🦇  Почему Дракула?  Имя Дракула Влад III Цепеш унаследовал от отца. Когда Влад II вернулся после странствий на родину, получив почетное месте в рыцарском Ордене Дракона, валашские бояре прозвали его Дракулом, чтобы подчеркнуть его принадлежность к этому ордену (на латыни дракон — draco), который посвятил себя борьбе с турками и еретиками.  Почему все боялись Дракулу?  Более всего он запомнился жутким способом казни — сажанием на кол. Этот факт особенно значим, поскольку загадочным образом отсылает нас к традиционному способу умертвлять вампиров забиванием деревянного кола в их материальное тело. Именно кол как орудие казни, вероятно, помог развести вымышленного графа и реальную историческую личность — Влада Дракулу, благодаря его прозвищу Цепеш (в переводе с румынского — Колосажатель).  Жестокий или справедливый?  В румынских преданиях о Дракуле есть история о чаше. Он велел поставить на главной площади серебряную чашу с водой, чтобы каждый мог напиться. За всё время правления никто не посмел её украсть. Народ говорил: Дракула жесток, но справедлив. Он карал воров, лжецов, предателей — без пощады, но и без лицемерия.  📖 За книгой: МИФ / Ozon / WB / Читай-город",книги,mifbooks,2025-05-12 18:36:31
8174,"Друзья, наш Культурный Котик отрастил антиспам-коготки — он пришел охранять чат читателей от всякой ерунды: ботов и подозрительных сообщений.  Иногда он может попросить вас пройти небольшую проверку — например, подтвердить, что вы не робот (а если вы все-таки робот, то хотя бы вежливый 😘). Не переживайте — это займет всего пару секунд!  Если вдруг бот покажется вам слишком строгим — напишите нам, настроим всё поудобнее 💬  Если вы незаслуженно угодили в бан, просим понять и простить, Культурный Кот может перестараться — нажмите кнопку start в боте @antispam_mif_bot, и всё будет хорошо.",книги,mifbooks,2025-05-12 14:27:07
8172,"Продлеваем праздники — это ваш билет на препати Дня рождения МИФа 🥳  Мы вовсю готовимся к 20-летию — цифра круглая и весомая, поэтому и отмечать планируем соответственно. Чтобы разогреться, начинаем с препати на Ozon.   На юбилейной странице вас ждут:  – топ книг МИФа за 20 лет, – подборки по направлениям, – праздничные скидки и еще -10% по промокоду PREPARTY10 (он работает на всё, кроме предзаказов).  Время праздновать и читать",книги,mifbooks,2025-05-12 09:07:46
8171,"Хорошая новость вдогонку к предыдущем посту — открыли предзаказ на новую книгу Лизы Марчиано «Искра жизни». В своей работе известный юнгианский аналитик приглашает женщин исследовать подавленные, или теневые, аспекты психики.   Современный анализ сказок и мифов, примеры из жизни клиенток и вопросы для рефлексии помогут вернуть отколовшиеся части себя, чтобы воссоединиться со своей блестящей, творческой и независимой природой и стать теми, кем мы должны быть.  📕 Предзаказ: МИФ / Ozon / Читай-город",книги,mifbooks,2025-05-11 13:31:30
8170,"«Материнство изменило меня. Я стала более непредвзятой, скромной, мудрой, уверенной в себе, терпимой, яростной и смелой. Я знаю о мире гораздо меньше, чем мне казалось прежде, зато больше узнала о себе», — пишет Лиза Марчиано, клинический психолог и юнгианский аналитик.  В День матери перечитываем ее книгу «Дарующая жизнь»:  ❝ Материнство, с его сильными физическими и эмоциональными перегрузками, — это горнило, в котором мы проходим испытание на прочность и меняемся. В алхимическом сосуде материнства жар накаляется до предела. Морально устаревшие части нашей личности расплавляются, и формируются новые.  ❝ Материнство похоже на тибетскую песочную мандалу. Мы долго и с любовью работаем над воспитанием нашего ребенка, все это время зная, что скоро добровольно отпустим его на все четыре стороны. Мы стараемся адаптироваться к каждому новому этапу его взросления, понимая, что он быстро пройдет.   ❝ Немногие события в жизни позволяют нам познать себя так, как материнство. Оно утомит вас, наполнит страхом и доведет до слез. Оно вызовет радость, неуверенность в себе, веселье, удовлетворенность, ярость, ужас, стыд, раздражение, ощущение неполноценности, горе, тревогу и любовь. Вы, вероятно, увидите себя в самом лучшем и в самом худшем проявлении. Если смысл жизни все же заключается в том, чтобы расширить жизненный опыт и больше узнать о себе, то материнство предоставляет огромный простор для самопознания.  Еще больше цитат — в нашем блоге 📖",книги,mifbooks,2025-05-11 10:39:02
8167,"«Высший жандармский отдел, теневой корпус. Слуги императора, вершители закона — так их называли на светских вечерах. Императорские псы, нюхачи, или просто теневики — так их звали среди народа».  В конце мая ждем из типографии детективное фэнтези, в котором главная героиня отправляется на Камчатку, чтобы расследовать таинственное убийство — «Дело теневого сыска» от Екатерины Андреевой. История вдохновлена мифологией коренных народов Камчатки, корякскими сказками и легендами.   Загадочная смерть на вершине Ключевской сопки приводит Евгению Стецкую на Камчатку — далекую землю, где северное сияние переправляет души умерших, а вороны передают послания богов. Служащая теневого жандармского корпуса должна расследовать убийство, но для этого надо сперва разобраться в происходящем на севере Российской империи.  Евгении придется познакомиться с корякскими традициями, столкнуться с местными духами и демонами и подняться на самую вершину могущественного вулкана. И она даже не подозревает, что в столице тем временем зреет новая волна революции...  Предзаказ: МИФ / Ozon / Читай-город",книги,mifbooks,2025-05-10 18:05:52
8158,"Книга «Живая корейская мифология» — результат многолетней работы профессора Син Тонхына, исследователя фольклора, который посвятил жизнь поиску и систематизации забытых мифов Кореи.  Каждый миф в книге сопровождается толкованием, культурным контекстом, расшифровкой символов — все это помогает понять, почему корейские герои чаще простолюдины, а не дети богов, и что означает идея «бога, который знал страдание».  Благодаря иллюстрациям художницы huaepiphany на страницах оживают тонкие, многослойные образы, напоминающие фрески, старинные гравюры и мерцающие сны. Они не объясняют мифы, а дополняют их, создавая особую атмосферу.  В нашем блоге можно познакомиться с некоторыми героями корейских мифов поближе.  📕 За новинкой: МИФ / Читай-город / Ozon / WB",книги,mifbooks,2025-05-10 11:48:38
